
2024/08/22 (21:14:09) | ===> btop++ v.1.3.2
2024/08/22 (21:14:09) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/23 (22:25:44) | ===> btop++ v.1.3.2
2024/08/23 (22:25:44) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/26 (01:53:41) | ===> btop++ v.1.3.2
2024/08/26 (01:53:41) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/26 (13:09:50) | ===> btop++ v.1.3.2
2024/08/26 (13:09:50) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/27 (16:51:22) | ===> btop++ v.1.3.2
2024/08/27 (16:51:22) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/27 (19:08:20) | ===> btop++ v.1.3.2
2024/08/27 (19:08:20) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/28 (18:12:01) | ===> btop++ v.1.3.2
2024/08/28 (18:12:01) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/28 (18:22:30) | ===> btop++ v.1.3.2
2024/08/28 (18:22:30) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/29 (00:02:07) | ===> btop++ v.1.3.2
2024/08/29 (00:02:07) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/29 (19:34:18) | ===> btop++ v.1.3.2
2024/08/29 (19:34:18) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/09 (11:01:30) | ===> btop++ v.1.3.2
2024/09/09 (11:01:30) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/13 (11:30:16) | ===> btop++ v.1.3.2
2024/09/13 (11:30:16) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/14 (06:34:41) | ===> btop++ v.1.3.2
2024/09/14 (06:34:41) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/24 (03:19:13) | ===> btop++ v.1.3.2
2024/09/24 (03:19:13) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/24 (18:53:30) | ===> btop++ v.1.4.0
2024/09/24 (18:53:30) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/15 (19:23:25) | ===> btop++ v.1.4.0
2024/10/15 (19:23:25) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/11/04 (16:25:22) | ===> btop++ v.1.4.0
2024/11/04 (16:25:22) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/11/07 (06:33:23) | ===> btop++ v.1.4.0
2024/11/07 (06:33:23) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/11/20 (04:49:12) | ===> btop++ v.1.4.0
2024/11/20 (04:49:12) | WARNING: Failed to set locale UTF-8 continuing anyway.
